group,mass_bin,T_bin,O2_bin,n
demersal,10^0 g,10.25,19.25,1
demersal,10^0 g,10.25,20.75,1
demersal,10^0 g,10.25,21.25,114
demersal,10^0 g,10.25,21.75,153
demersal,10^0 g,10.25,22.25,1
demersal,10^0 g,10.75,4.25,3
demersal,10^0 g,10.75,16.25,1
demersal,10^0 g,10.75,16.75,1
demersal,10^0 g,10.75,19.75,1
demersal,10^0 g,10.75,20.25,1
demersal,10^0 g,10.75,20.75,1
demersal,10^0 g,10.75,21.25,10
demersal,10^0 g,10.75,21.75,66
demersal,10^0 g,10.75,22.25,5
demersal,10^0 g,11.25,2.25,1
demersal,10^0 g,11.25,4.25,1
demersal,10^0 g,11.25,4.75,2
demersal,10^0 g,11.25,6.25,1
demersal,10^0 g,11.25,15.25,3
demersal,10^0 g,11.25,16.25,1
demersal,10^0 g,11.25,16.75,1
demersal,10^0 g,11.25,20.25,1
demersal,10^0 g,11.25,20.75,5
demersal,10^0 g,11.25,21.25,4
demersal,10^0 g,11.25,21.75,93
demersal,10^0 g,11.25,22.25,2
demersal,10^0 g,11.25,22.75,1
demersal,10^0 g,11.75,5.25,2
demersal,10^0 g,11.75,6.75,1
demersal,10^0 g,11.75,9.75,1
demersal,10^0 g,11.75,14.25,1
demersal,10^0 g,11.75,15.25,3
demersal,10^0 g,11.75,15.75,1
demersal,10^0 g,11.75,20.25,54
demersal,10^0 g,11.75,20.75,1
demersal,10^0 g,11.75,21.25,1
demersal,10^0 g,11.75,21.75,1
demersal,10^0 g,12.25,7.75,1
demersal,10^0 g,12.25,15.75,1
demersal,10^0 g,12.25,17.25,1
demersal,10^0 g,12.25,19.75,1
demersal,10^0 g,12.25,21.25,8
demersal,10^0 g,12.25,21.75,3
demersal,10^0 g,12.25,22.25,3
demersal,10^0 g,12.75,2.75,2
demersal,10^0 g,12.75,5.75,1
demersal,10^0 g,12.75,15.25,10
demersal,10^0 g,12.75,16.75,4
demersal,10^0 g,12.75,20.25,5
demersal,10^0 g,12.75,20.75,3
demersal,10^0 g,12.75,21.75,8
demersal,10^0 g,12.75,22.25,22
demersal,10^0 g,13.25,13.75,1
demersal,10^0 g,13.25,15.75,2
demersal,10^0 g,13.25,16.25,2
demersal,10^0 g,13.25,17.25,1
demersal,10^0 g,13.25,17.75,1
demersal,10^0 g,13.25,18.25,1
demersal,10^0 g,13.75,8.75,1
demersal,10^0 g,13.75,10.75,1
demersal,10^0 g,13.75,16.25,2
demersal,10^0 g,13.75,17.75,1
demersal,10^0 g,13.75,18.25,1
demersal,10^0 g,13.75,19.75,1
demersal,10^0 g,13.75,20.25,1
demersal,10^0 g,13.75,20.75,1
demersal,10^0 g,14.25,11.75,1
demersal,10^0 g,14.25,15.25,1
demersal,10^0 g,14.25,15.75,18
demersal,10^0 g,14.25,20.25,3
demersal,10^0 g,14.25,21.75,2
demersal,10^0 g,14.25,22.25,1
demersal,10^0 g,14.75,2.75,1
demersal,10^0 g,14.75,7.75,1
demersal,10^0 g,14.75,9.75,1
demersal,10^0 g,14.75,15.75,2
demersal,10^0 g,14.75,16.75,1
demersal,10^0 g,14.75,18.75,1
demersal,10^0 g,14.75,21.25,6
demersal,10^0 g,15.25,16.75,4
demersal,10^0 g,15.25,19.25,1
demersal,10^0 g,15.75,9.25,1
demersal,10^0 g,15.75,15.75,2
demersal,10^0 g,15.75,16.75,1
demersal,10^0 g,15.75,18.75,1
demersal,10^0 g,15.75,21.25,7
demersal,10^0 g,15.75,21.75,2
demersal,10^0 g,15.75,22.25,1
demersal,10^0 g,16.25,13.25,1
demersal,10^0 g,16.25,15.25,1
demersal,10^0 g,16.25,15.75,1
demersal,10^0 g,16.25,16.75,7
demersal,10^0 g,16.75,9.75,1
demersal,10^0 g,16.75,11.25,1
demersal,10^0 g,16.75,14.25,1
demersal,10^0 g,16.75,15.75,1
demersal,10^0 g,16.75,17.25,1
demersal,10^0 g,16.75,17.75,8
demersal,10^0 g,16.75,21.25,3
demersal,10^0 g,16.75,21.75,1
demersal,10^0 g,16.75,22.25,1
demersal,10^0 g,16.75,22.75,2
demersal,10^0 g,17.25,16.75,1
demersal,10^0 g,17.25,17.25,3
demersal,10^0 g,17.25,21.75,1
demersal,10^0 g,17.25,22.25,1
demersal,10^0 g,17.75,10.25,1
demersal,10^0 g,17.75,15.25,1
demersal,10^0 g,17.75,17.25,4
demersal,10^0 g,17.75,17.75,2
demersal,10^0 g,17.75,20.75,2
demersal,10^0 g,17.75,21.25,9
demersal,10^0 g,18.25,17.75,4
demersal,10^0 g,18.25,18.25,1
demersal,10^0 g,18.25,20.75,10
demersal,10^0 g,18.25,21.25,96
demersal,10^0 g,18.25,21.75,33
demersal,10^0 g,18.25,22.25,2
demersal,10^0 g,18.75,15.75,2
demersal,10^0 g,18.75,17.25,2
demersal,10^0 g,18.75,18.25,1
demersal,10^0 g,18.75,21.25,136
demersal,10^0 g,18.75,21.75,4
demersal,10^0 g,18.75,22.25,1
demersal,10^0 g,19.25,13.25,1
demersal,10^0 g,19.25,14.75,1
demersal,10^0 g,19.25,21.25,51
demersal,10^0 g,19.75,15.75,1
demersal,10^0 g,19.75,18.25,1
demersal,10^0 g,19.75,19.75,8
demersal,10^0 g,19.75,21.25,1
demersal,10^0 g,20.25,11.75,1
demersal,10^0 g,20.25,12.75,1
demersal,10^0 g,20.25,14.25,2
demersal,10^0 g,20.25,17.75,1
demersal,10^0 g,20.25,21.25,12
demersal,10^0 g,20.25,21.75,4
demersal,10^0 g,20.75,17.25,1
demersal,10^0 g,20.75,19.25,8
demersal,10^0 g,20.75,21.75,2
demersal,10^0 g,20.75,22.25,1
demersal,10^0 g,21.25,13.25,1
demersal,10^0 g,21.25,17.25,1
demersal,10^0 g,21.25,21.25,4
demersal,10^0 g,21.75,3.25,1
demersal,10^0 g,21.75,11.25,1
demersal,10^0 g,21.75,18.25,1
demersal,10^0 g,21.75,21.25,3
demersal,10^0 g,21.75,21.75,32
demersal,10^0 g,22.25,13.75,1
demersal,10^0 g,22.25,17.25,1
demersal,10^0 g,22.25,20.75,3
demersal,10^0 g,22.25,21.75,4
demersal,10^0 g,22.25,22.25,1
demersal,10^0 g,22.75,9.25,1
demersal,10^0 g,22.75,16.75,1
demersal,10^0 g,22.75,17.25,4
demersal,10^0 g,22.75,19.75,1
demersal,10^0 g,22.75,20.75,4
demersal,10^0 g,22.75,21.75,2
demersal,10^0 g,22.75,23.25,4
demersal,10^0 g,23.25,16.25,2
demersal,10^0 g,23.25,17.75,1
demersal,10^0 g,23.25,18.25,1
demersal,10^0 g,23.25,19.25,1
demersal,10^0 g,23.25,19.75,2
demersal,10^0 g,23.25,21.25,6
demersal,10^0 g,23.25,22.25,4
demersal,10^0 g,23.75,17.75,1
demersal,10^0 g,23.75,19.75,2
demersal,10^0 g,23.75,20.75,3
demersal,10^0 g,23.75,21.75,2
demersal,10^0 g,23.75,22.25,2
demersal,10^0 g,23.75,22.75,16
demersal,10^0 g,24.25,17.25,2
demersal,10^0 g,24.25,17.75,6
demersal,10^0 g,24.25,20.25,4
demersal,10^0 g,24.25,20.75,4
demersal,10^0 g,24.25,21.25,11
demersal,10^0 g,24.25,21.75,15
demersal,10^0 g,24.75,17.75,3
demersal,10^0 g,24.75,18.25,1
demersal,10^0 g,24.75,18.75,1
demersal,10^0 g,24.75,19.25,2
demersal,10^0 g,24.75,19.75,5
demersal,10^0 g,24.75,20.25,9
demersal,10^0 g,24.75,20.75,157
demersal,10^0 g,24.75,21.25,12
demersal,10^0 g,24.75,21.75,20
demersal,10^0 g,24.75,22.25,1
demersal,10^0 g,25.25,16.25,3
demersal,10^0 g,25.25,18.25,1
demersal,10^0 g,25.25,18.75,2
demersal,10^0 g,25.25,19.25,2
demersal,10^0 g,25.25,19.75,1
demersal,10^0 g,25.25,20.75,98
demersal,10^0 g,25.25,21.25,457
demersal,10^0 g,25.25,21.75,25
demersal,10^0 g,25.25,22.25,20
demersal,10^0 g,25.75,16.75,2
demersal,10^0 g,25.75,19.25,5
demersal,10^0 g,25.75,19.75,4
demersal,10^0 g,25.75,20.25,5
demersal,10^0 g,25.75,20.75,11
demersal,10^0 g,25.75,21.25,16
demersal,10^0 g,25.75,21.75,25
demersal,10^0 g,26.25,16.75,1
demersal,10^0 g,26.25,19.25,1
demersal,10^0 g,26.25,19.75,6
demersal,10^0 g,26.25,20.25,4
demersal,10^0 g,26.25,20.75,6
demersal,10^0 g,26.25,21.25,26
demersal,10^0 g,26.25,21.75,17
demersal,10^0 g,26.25,22.25,34
demersal,10^0 g,26.75,17.75,1
demersal,10^0 g,26.75,18.25,3
demersal,10^0 g,26.75,20.25,2
demersal,10^0 g,26.75,20.75,36
demersal,10^0 g,26.75,21.25,14
demersal,10^0 g,26.75,21.75,43
demersal,10^0 g,27.25,13.75,1
demersal,10^0 g,27.25,19.25,3
demersal,10^0 g,27.25,19.75,4
demersal,10^0 g,27.25,20.75,2
demersal,10^0 g,27.25,21.25,34
demersal,10^0 g,27.25,21.75,33
demersal,10^0 g,27.25,22.25,8
demersal,10^0 g,27.75,20.75,20
demersal,10^0 g,27.75,21.25,13
demersal,10^0 g,27.75,21.75,51
demersal,10^0 g,27.75,22.25,8
demersal,10^0 g,28.25,19.75,1
demersal,10^0 g,28.25,20.25,6
demersal,10^0 g,28.25,20.75,4
demersal,10^0 g,28.25,21.25,35
demersal,10^0 g,28.25,21.75,25
demersal,10^0 g,28.25,22.25,2
demersal,10^0 g,28.75,20.25,4
demersal,10^0 g,28.75,20.75,15
demersal,10^0 g,28.75,21.25,23
demersal,10^0 g,28.75,21.75,14
demersal,10^0 g,29.25,19.75,1
demersal,10^0 g,29.25,21.25,18
demersal,10^0 g,29.25,21.75,77
demersal,10^0 g,29.25,22.25,3
demersal,10^0 g,29.75,21.75,10
demersal,10^1 g,0.25,12.25,5
demersal,10^1 g,0.25,12.75,2
demersal,10^1 g,0.25,13.25,193
demersal,10^1 g,0.25,13.75,38
demersal,10^1 g,0.25,14.25,82
demersal,10^1 g,0.25,14.75,15
demersal,10^1 g,0.25,15.25,72
demersal,10^1 g,0.25,15.75,15
demersal,10^1 g,0.25,16.25,323
demersal,10^1 g,0.25,16.75,187
demersal,10^1 g,0.25,17.25,104
demersal,10^1 g,0.25,17.75,188
demersal,10^1 g,0.25,18.25,543
demersal,10^1 g,0.25,18.75,512
demersal,10^1 g,0.25,19.25,466
demersal,10^1 g,0.25,19.75,603
demersal,10^1 g,0.25,20.25,102
demersal,10^1 g,0.25,20.75,52
demersal,10^1 g,0.25,21.25,49
demersal,10^1 g,0.25,21.75,9
demersal,10^1 g,0.25,22.25,1
demersal,10^1 g,0.25,23.25,1
demersal,10^1 g,0.75,11.75,1
demersal,10^1 g,0.75,12.25,97
demersal,10^1 g,0.75,12.75,140
demersal,10^1 g,0.75,13.25,1266
demersal,10^1 g,0.75,13.75,43
demersal,10^1 g,0.75,14.25,254
demersal,10^1 g,0.75,14.75,11
demersal,10^1 g,0.75,15.25,13
demersal,10^1 g,0.75,15.75,1
demersal,10^1 g,0.75,16.25,9
demersal,10^1 g,0.75,16.75,11
demersal,10^1 g,0.75,17.25,13
demersal,10^1 g,0.75,17.75,56
demersal,10^1 g,0.75,18.25,150
demersal,10^1 g,0.75,18.75,83
demersal,10^1 g,0.75,19.25,100
demersal,10^1 g,0.75,19.75,93
demersal,10^1 g,0.75,20.25,29
demersal,10^1 g,0.75,20.75,22
demersal,10^1 g,0.75,21.75,1
demersal,10^1 g,1.25,11.75,19
demersal,10^1 g,1.25,12.25,147
demersal,10^1 g,1.25,12.75,223
demersal,10^1 g,1.25,13.25,91
demersal,10^1 g,1.25,13.75,40
demersal,10^1 g,1.25,14.25,6
demersal,10^1 g,1.25,14.75,4
demersal,10^1 g,1.25,15.25,6
demersal,10^1 g,1.25,15.75,39
demersal,10^1 g,1.25,16.25,1
demersal,10^1 g,1.25,16.75,96
demersal,10^1 g,1.25,17.25,8
demersal,10^1 g,1.25,17.75,13
demersal,10^1 g,1.25,18.25,14
demersal,10^1 g,1.25,18.75,24
demersal,10^1 g,1.25,19.25,118
demersal,10^1 g,1.25,19.75,145
demersal,10^1 g,1.25,20.25,56
demersal,10^1 g,1.25,20.75,30
demersal,10^1 g,1.75,4.75,1
demersal,10^1 g,1.75,9.25,1
demersal,10^1 g,1.75,10.75,17
demersal,10^1 g,1.75,11.25,196
demersal,10^1 g,1.75,11.75,108
demersal,10^1 g,1.75,12.25,271
demersal,10^1 g,1.75,12.75,65
demersal,10^1 g,1.75,13.25,14
demersal,10^1 g,1.75,13.75,46
demersal,10^1 g,1.75,14.25,21
demersal,10^1 g,1.75,14.75,21
demersal,10^1 g,1.75,15.25,5
demersal,10^1 g,1.75,15.75,7
demersal,10^1 g,1.75,16.25,1
demersal,10^1 g,1.75,17.25,9
demersal,10^1 g,1.75,17.75,6
demersal,10^1 g,1.75,18.25,196
demersal,10^1 g,1.75,18.75,39
demersal,10^1 g,1.75,19.25,44
demersal,10^1 g,1.75,19.75,43
demersal,10^1 g,1.75,20.25,59
demersal,10^1 g,1.75,20.75,534
demersal,10^1 g,1.75,21.25,5
demersal,10^1 g,1.75,21.75,3
demersal,10^1 g,2.25,7.25,1
demersal,10^1 g,2.25,9.75,2
demersal,10^1 g,2.25,11.25,28
demersal,10^1 g,2.25,11.75,102
demersal,10^1 g,2.25,12.25,28
demersal,10^1 g,2.25,12.75,463
demersal,10^1 g,2.25,13.25,23
demersal,10^1 g,2.25,13.75,12
demersal,10^1 g,2.25,14.25,6
demersal,10^1 g,2.25,14.75,4
demersal,10^1 g,2.25,15.25,1
demersal,10^1 g,2.25,15.75,9
demersal,10^1 g,2.25,16.75,3
demersal,10^1 g,2.25,17.25,3
demersal,10^1 g,2.25,17.75,3
demersal,10^1 g,2.25,18.25,25
demersal,10^1 g,2.25,18.75,23
demersal,10^1 g,2.25,19.25,10
demersal,10^1 g,2.25,19.75,43
